Data,Lançamento,Dcto.,Crédito (R$),Débito (R$),Saldo (R$),,
29/12/2016,SALDO ANTERIOR,,,,1732,"R$ 69,00",
02/01/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,9,73,,"R$ 1.742,00",42
02/01/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,72,4,,"R$ 1.814,00",46
02/01/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,34,7,,"R$ 1.848,00",53
02/01/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,98,32,,"R$ 1.946,00",85
02/01/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,38,94,,"R$ 1.985,00",79
02/01/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,208,32,,"R$ 2.194,00",11
03/01/2017,VENDA CARTAO DE CREDITO,9338296,13462,11,,"R$ 15.656,00",22
03/01/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,73,99,,"R$ 15.730,00",21
03/01/2017,REDE HIPER CRED REDECARD S A,6907268,32,73,,"R$ 15.762,00",94
04/01/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,163,65,,"R$ 15.926,00",59
04/01/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,105,14,,"R$ 16.031,00",73
06/01/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,25,31,,"R$ 16.057,00",4
06/01/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,33,10,,"R$ 16.090,00",14
06/01/2017,CIELO VDA CREDITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,164,12,,"R$ 16.254,00",26
06/01/2017,REDE HIPER CRED REDECARD S A,6907268,31,71,,"R$ 16.285,00",97
09/01/2017,VENDA CARTAO DE CREDITO,9338296,24,42,,"R$ 16.310,00",39
09/01/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,22,39,,"R$ 16.332,00",78
09/01/2017,CIELO VDA CREDITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,248,55,,"R$ 16.581,00",33
09/01/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,43,81,,"R$ 16.625,00",14
10/01/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,23,36,,"R$ 16.648,00",50
10/01/2017,RECIBO RETIRADA CB ESPECIE,1,,-3500,0,"R$ 13.148,00",50
10/01/2017,SAQUE COM CARTAO CB ESPECIE,5882080,,-1000,0,"R$ 12.148,00",50
11/01/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,42,83,,"R$ 12.191,00",33
11/01/2017,RECIBO RETIRADA CB ESPECIE,1,,-3500,0,"R$ 8.691,00",33
11/01/2017,SAQUE COM CARTAO CB ESPECIE,5882080,,-500,0,"R$ 8.191,00",33
11/01/2017,SAQUE COM CARTAO CB ESPECIE,5882080,,-500,0,"R$ 7.691,00",33
12/01/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,60,36,,"R$ 7.751,00",69
12/01/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,23,36,,"R$ 7.775,00",5
12/01/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,73,60,,"R$ 7.848,00",65
12/01/2017,REDE HIPER CRED REDECARD S A,6907268,40,28,,"R$ 7.888,00",93
12/01/2017,RECIBO RETIRADA CB ESPECIE,1,,-3500,0,"R$ 4.388,00",93
12/01/2017,SAQUE COM CARTAO CB ESPECIE,5882080,,-1000,0,"R$ 3.388,00",93
13/01/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,7,79,,"R$ 3.396,00",72
13/01/2017,TARIFA BANCARIA CESTA PJ 2,20117,,-46,0,"R$ 3.350,00",72
13/01/2017,RECIBO RETIRADA CB ESPECIE,1,,-3350,0,"R$ 0,00",72
16/01/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,19,47,,"R$ 20,00",19
16/01/2017,REDE HIPER CRED REDECARD S A,6907268,53,1,,"R$ 73,00",20
18/01/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,30,18,,"R$ 103,00",38
20/01/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,99,10,,"R$ 202,00",48
23/01/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,34,7,,"R$ 236,00",55
23/01/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,65,22,,"R$ 301,00",77
